country	ccode	verified	year	month	day	source	mcgowan	csp	bs	banks	moreno	finer	janowitz	kennedy	ferguson	okane	thompson	luttwak	lunde	world_hand	combined	no_evidence	rebellion	no_overt	legal	no_exec	protest	autogolpe	assasination	invasion	unclear
"Haiti"	41		1956	12	12	"New York Times. Dec 13, 1956"			2	2			2				2				0	0	0	0	1	0	0	0	0	0	0
"Haiti"	41		1957	-9	-9	"unclear"			2	2											0	0	0	0	0	0	0	0	0	0	1
"Haiti"	41		1957	-9	-9	"unclear"			2	2											0	0	0	0	0	0	0	0	0	0	1
"Haiti"	41		1957	2	-9	"New York Times. Feb 5, 1957"							2								0	0	0	0	1	0	0	0	0	0	0
"Haiti"	41		1957	3	31	"New York Times. Mar 31, 1957"														1	0	0	0	0	0	0	0	1	0	0	0
"Haiti"	41		1957	4	-9	"New York Times. Apr 3, 1957"							2								1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1957	4	2	"New York Times. Apr 3, 1957"			2	2	2		2				2				0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1957	5	21	"New York Times. May 22, 1957"					2									2	0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1957	5	22	"New York Times. May 22, 1957"														2	1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1957	5	26	"New York Times. May 27, 1957"														1	0	0	0	0	1	0	0	0	0	0	0
"Haiti"	41	2	1957	6	14	"New York Times. Jun 15, 1957"					2									2	0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1957	6	15	"New York Times. Jun 15, 1957"														2	1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1958	7	30	"New York Times, various"														1	0	0	0	0	0	0	0	0	0	1	0
"Haiti"	41		1959	8	27	"none"														1	0	1	0	0	0	0	0	0	0	0	0
"Haiti"	41		1963	-9	-9	"Sunday Times (London). Aug 7, 1963"			1												0	0	1	0	0	0	0	0	0	0	0
"Haiti"	41		1963	8	8	"New York Times. Aug 8, 1963"														1	0	0	1	0	0	0	0	0	0	0	0
"Haiti"	41		1964	4	1	"New York Times. Apr 2, 1964"					2									2	0	0	0	0	0	0	0	1	0	0	0
"Haiti"	41		1964	4	2	"New York Times. Apr 2, 1964"														2	1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1966	4	23	"none"														1	0	1	0	0	0	0	0	0	0	0	0
"Haiti"	41		1966	11	24	"none"														1	0	1	0	0	0	0	0	0	0	0	0
"Haiti"	41	1	1970	4	24	"New York Times. Apr 25, 1970"											1				0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1982	1	9	"New York Times, various"														1	0	0	1	0	0	0	0	0	0	0	0
"Haiti"	41		1986	-9	-9	"New York Times. Apr 25, 1970"				2					2						1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1986	2	7	"New York Times. Apr 25, 1970"		2		2	2				2						0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1988	-9	-9	"New York Times. Sep 18, 1988"			2	2											1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1988	-9	-9	"New York Times. Sep 18, 1988"			2	2											1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1988	6	20	"New York Times. Sep 18, 1988"		2	2	2	2										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1988	9	18	"New York Times. Sep 18, 1988"		2	2	2	2										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1989	-9	-9	"unclear"			1												1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1989	-9	-9	"unclear"			1												1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1989	4	1	"unclear"					1										1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	1	1989	4	2	"New York Times. Apr 3, 1989"		1	1		1										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	1	1989	4	5	"New York Times. Apr 6, 1989"		1	1		1										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1990	1	24	"New York Times. Jan 25, 1990"					1										0	0	0	0	0	0	0	1	0	0	0
"Haiti"	41		1990	3	10	"New York Times. Mar 12, 1990"					2										0	0	0	0	1	0	0	0	0	0	0
"Haiti"	41		1991	-9	-9	"unclear"			1	2											0	0	0	0	0	0	0	0	0	0	1
"Haiti"	41		1991	1	6	"New York Times. Jan 8, 1991"					2										1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	1	1991	1	7	"New York Times. Jan 8, 1991"		1			2										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1991	9	30	"New York Times. Oct 1, 1991"		2		2	2										0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		2000	10	16	"BBC. Oct 20, 2000"		1													0	0	0	1	0	0	0	0	0	0	0
"Dominican Republic"	42		1959	6	19	"New York Times. Jun 24, 1959"					1										0	0	0	0	0	0	0	0	0	1	0
"Dominican Republic"	42		1960	1	-9	"New York Times. Jan 29, 1960"								1						1	0	0	0	1	0	0	0	0	0	0	0
"Dominican Republic"	42		1960	1	29	"New York Times. Jan 29, 1960"														1	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1961	-9	-9	"unclear"			2	2											0	0	0	0	0	0	0	0	0	0	1
"Dominican Republic"	42		1961	5	30	"New York Times. Jun 1, 1961"		1									1				0	0	0	0	0	1	0	0	0	0	0
"Dominican Republic"	42		1961	7	-9	"New York Times. various sources"											1				0	0	0	1	0	0	0	0	0	0	0
"Dominican Republic"	42		1961	11	-9	"New York Times. various sources"								2							0	0	0	1	0	0	0	0	0	0	0
"Dominican Republic"	42		1962	-9	-9	"New York Times. Jan 19, 1962"			1						1						1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1962	1	-9	"New York Times. Jan 19, 1962"								1							1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42	1	1962	1	16	"New York Times. Jan 19, 1962"		1	1		1			1	1		1	1			0	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1962	1	17	"New York Times. Jan 19, 1962"														2	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1962	1	18	"New York Times. Jan 19, 1962"											2				0	0	0	0	1	0	0	0	0	0	0
"Dominican Republic"	42		1962	1	19	"New York Times. Jan 19, 1962"														2	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1962	6	-9	"none"							2								0	1	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1963	-9	-9	"New York Times. Sep 26, 1963"			2	2	1	2			2	2					1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1963	9	-9	"New York Times. Sep 26, 1963"							2	2							1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42	2	1963	9	25	"New York Times. Sep 26, 1963"		2	2	2	2	2	2	2	2	2	2	2		2	0	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1963	9	26	"New York Times. Sep 26, 1963"														2	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1965	-9	-9	"New York Times. 04/26, 11/24 or 11/23, 1965"			1	2	1					2					1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1965	4	-9	"New York Times. 04/26, 11/24 or 11/23, 1965"							2								1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42	2	1965	4	25	"New York Times. Apr 26, 1965"				2	2		2			2					0	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1965	4	26	"New York Times. Apr 26, 1965"														1	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1965	4	29	"New York Times. Apr 26, 1965"														2	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42	1	1965	11	22	"New York Times. Nov 24, 1965. Nov 23, 1965"		1	1		1									1	0	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1965	11	23	"New York Times. Nov 24, 1965. Nov 23, 1965"														1	1	0	0	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1966	1	7	"New York Times. Jan 7, 1966"														1	0	0	0	0	0	1	0	0	0	0	0
"Dominican Republic"	42		1966	6	6	"New York Times. Jun 6, 1966"					1										0	0	0	0	1	0	0	0	0	0	0
"Dominican Republic"	42		1973	2	5	"New York Times. Feb 7, 1973"					1										0	0	1	0	0	0	0	0	0	0	0
"Dominican Republic"	42		1975	6	8	"New York Times. Jun 8, 1975"					1										0	0	1	0	0	0	0	0	0	0	0
"Trinidad and Tobago"	52		1970	-9	-9	"New York Times. Apr 23, 1970"			1												0	0	0	0	0	0	1	0	0	0	0
"Trinidad and Tobago"	52		1970	4	21	"New York Times, various"														1	0	0	1	0	0	0	0	0	0	0	0
"Trinidad and Tobago"	52		1990	-9	-9	"New York Times. Jul 29, 1990"			1												1	0	0	0	0	0	0	0	0	0	0
"Trinidad and Tobago"	52		1990	7	27	"New York Times. Jul 29, 1990"		1	1												0	0	1	0	0	0	0	0	0	0	0
"Dominica"	54	1	1981	12	19	"New York Times. Dec 20, 1981"									1						0	0	0	0	0	0	0	0	0	0	0
"Grenada"	55		1962	6	19	"New York Times. Jun 19, 1962"														2	0	0	0	0	0	0	0	0	0	0	1
"Grenada"	55	2	1979	3	13	"New York Times. Mar 15, 1979"				2					2	2				2	0	0	0	0	0	0	0	0	0	0	0
"Grenada"	55	2	1983	10	14	"New York Times. Oct 18, 1983"				2					2						0	0	0	0	0	0	0	0	0	0	0
"Mexico"	70		1961	9	24	"New York Times. various"														1	0	0	1	0	0	0	0	0	0	0	0
"Mexico"	70		1962	4	18	"New York Times. Apr 18, 1962"														1	0	0	0	1	0	0	0	0	0	0	0
"Guatemala"	90		1953	3	29	"New York Times. Mar 30, 1953"											1			1	0	0	1	0	0	0	0	0	0	0	0
"Guatemala"	90		1953	3	30	"New York Times. Mar 30, 1953"														1	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1954	-9	-9	"New York Times. Jun 28, 1954"			2	2	1										1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1954	6	-9	"New York Times. Jun 28, 1954"							2	2							1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1954	6	21	"New York Times. Jun 21, 1954"														2	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1954	6	27	"New York Times. Jun 28, 1954"											1				1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	2	1954	6	29	"New York Times. Jun 28, 1954"			2	2	2		2	2			2			2	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1954	6	30	"New York Times. Jun 28, 1954"														2	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1955	-9	-9	"New York Times. Jan 22, 1955"									1						1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	1	1955	1	20	"New York Times. Jan 22, 1955"					1				1		1	1		1	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1957	-9	-9	"New York Times. Oct 25, 1957"			2	2											1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1957	10	-9	"New York Times. Oct 25, 1957"							2								1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	2	1957	10	24	"New York Times. Oct 25, 1957"			2	2	2		2				2			2	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1957	10	25	"New York Times. Oct 25, 1957"														2	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1960	-9	-9	"New York Times. Nov 14, 1960"			1						1						1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1960	11	-9	"New York Times. Nov 14, 1960"								1							1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	1	1960	11	13	"New York Times. Nov 14, 1960"			1		1			1	1		1	1		1	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1960	11	14	"New York Times. Nov 14, 1960"														1	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1962	2	1	"New York Times. Feb 7, 1962. p. 11"					1										0	0	1	0	0	0	0	0	0	0	0
"Guatemala"	90	1	1962	11	25	"New York Times. Nov 26, 1962"					1						1				0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1963	-9	-9	"New York Times. Apr 1, 1963"			2	2		2			2	2					1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1963	3	-9	"New York Times. Apr 1, 1963"							2	2							1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	2	1963	3	30	"New York Times. Apr 1, 1963"		2	2	2	2	2	2	2	2	2	2	2		2	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1963	4	1	"New York Times. Apr 1, 1963"														2	1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1976	12	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1981	5	1	"New York Times. May 3, 1981"					1										0	0	0	0	0	0	0	1	0	0	0
"Guatemala"	90		1981	6	15	"http://www.preventgenocide.org/edu/pastgenocides/guatemala/chronology.htm"					1										0	0	0	0	0	0	0	1	0	0	0
"Guatemala"	90		1981	7	1	"New York Times. Jul 3, 1981"					1										0	0	1	0	0	0	0	0	0	0	0
"Guatemala"	90		1982	-9	-9	"New York Times. Mar 24, 1982"			2	2					2	2					1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1982	2	8	"New York Times. Feb 8, 1982"					1										0	0	0	0	0	1	0	0	0	0	0
"Guatemala"	90	2	1982	3	23	"New York Times. Mar 24, 1982"		2	2	2	2				2	2				2	0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1982	8	14	"Washington Post. Aug 16, 1982"		1													0	0	0	1	0	0	0	0	0	0	0
"Guatemala"	90		1982	10	20	"New York Times. Oct 31, 1982"		1													0	0	0	1	0	0	0	0	0	0	0
"Guatemala"	90		1983	-9	-9	"unclear"			2	2					2	2					0	0	0	0	0	0	0	0	0	0	1
"Guatemala"	90		1983	-9	-9	"unclear"			2	2					1	2					0	0	0	0	0	0	0	0	0	0	1
"Guatemala"	90		1983	6	27	"New York Times. Jun 30, 1983"					1										0	0	0	1	0	0	0	0	0	0	0
"Guatemala"	90	2	1983	8	8	"New York Times. Aug 9, 1983"		2			2										0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1984	-9	-9	"none"									1						0	1	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1984	4	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1986	4	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1986	6	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"Guatemala"	90	1	1988	5	11	"New York Times. May 12, 1988"		1			1										0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1989	-9	-9	"New York Times. May 10, 1989"			1												1	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90	1	1989	5	9	"New York Times. May 10, 1989"		1	1		1										0	0	0	0	0	0	0	0	0	0	0
"Guatemala"	90		1993	5	25	"New York Times. May 27, 1993"		1			2										0	0	0	0	0	0	0	1	0	0	0
"Honduras"	91		1950	9	15	"New York Times. Sep 15, 1950"														1	0	0	0	1	0	0	0	0	0	0	0
"Honduras"	91		1954	12	6	"New York Times. Dec 6, 1954"					2									2	0	0	0	0	0	0	0	1	0	0	0
"Honduras"	91		1956	-9	-9	"New York Times. Oct 22, 1956"			2	2											1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	1	1956	8	1	"New York Times. Aug 3, 1956"											1			1	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1956	8	2	"New York Times. Aug 3, 1956"														1	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1956	10	-9	"New York Times. Oct 22, 1956"							2								1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	2	1956	10	21	"New York Times. Oct 22, 1956"			2	2	2		2				2			2	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1956	10	22	"New York Times. Oct 22, 1956"														2	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1957	5	11	"New York Times. May 11 & 14, 1957"														1	0	0	0	0	0	0	0	0	0	1	0
"Honduras"	91		1959	2	7	"New York Times. Feb 10, 1959"											1				0	0	1	0	0	0	0	0	0	0	0
"Honduras"	91		1959	2	11	"New York Times. Feb 10, 1959"														1	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	1	1959	7	12	"New York Times. Jul 15, 1959"											1			1	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1959	7	13	"New York Times. Jul 15, 1959"														1	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1961	9	8	"none"											1				0	1	0	0	0	0	0	0	0	0	0
"Honduras"	91		1963	-9	-9	"unclear"			2	2		2			2	2					0	0	0	0	0	0	0	0	0	0	1
"Honduras"	91		1963	3	30	"none"												2			0	1	0	0	0	0	0	0	0	0	0
"Honduras"	91		1963	10	-9	"New York Times. Oct 4, 1963"							2	2							1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	2	1963	10	3	"New York Times. Oct 4, 1963"		2	2	2	2	2	2	2	2		2			2	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1963	10	4	"New York Times. Oct 4, 1963"														2	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1972	-9	-9	"New York Times. Dec 5, 1972. p. 15"			2	2						2					1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1972	12	-9	"New York Times. Dec 5, 1972. p. 15"								2							1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	2	1972	12	4	"New York Times. Dec 5, 1972. p. 15"		2	2	2	2			2		2				2	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1975	-9	-9	"New York Times (1857-Current file). Apr 23, 1975. p. 75"			2	2					2						1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1975	4	-9	"New York Times (1857-Current file). Apr 23, 1975. p. 75"							2								1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	2	1975	4	22	"New York Times (1857-Current file). Apr 23, 1975. p. 75"		2	2	2	2		2		2					2	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1975	4	23	"New York Times (1857-Current file). Apr 23, 1975. p. 75"														2	1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1977	-9	-9	"The Washington Post, Oct 23, 1977, A20"			1						1						1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	1	1977	10	21	"The Washington Post, Oct 23, 1977, A20"		1	1						1						0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1978	-9	-9	"The Washington Post, Aug 9, 1978, A24"			2	2					2						1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	2	1978	8	7	"The Washington Post, Aug 9, 1978, A24"		2	2	2	2				2					2	0	0	0	0	0	0	0	0	0	0	0
"Honduras"	91		1991	1	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"Honduras"	91		1999	-9	-9	"BBC Monitoring Latin America, Jul 31, 1999"			1												1	0	0	0	0	0	0	0	0	0	0
"Honduras"	91	1	1999	7	30	"BBC Monitoring Latin America, Jul 31, 1999"		1	1												0	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1960	-9	-9	"unclear"			2	2		2			2	2					0	0	0	0	0	0	0	0	0	0	1
"El Salvador"	92		1960	1	-9	"none"								2							0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1960	5	21	"New York Times. May 21, 1960"														1	0	0	0	1	0	0	0	0	0	0	0
"El Salvador"	92		1960	10	-9	"New York Times. Oct 27, 1960"							2								1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92	2	1960	10	26	"New York Times. Oct 27, 1960"		2			2		2				2	2		2	0	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1960	10	27	"New York Times. Oct 27, 1960"														2	1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1960	11	18	"New York Times. Nov 18, 1960"														1	0	0	0	1	0	0	0	0	0	0	0
"El Salvador"	92		1960	12	-9	"New York Times. Dec 23, 1960"								2							0	0	0	0	0	0	0	0	1	0	0
"El Salvador"	92		1961	-9	-9	"New York Times. Jan 26, 1961"			2	2		2			2	2					1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1961	1	-9	"New York Times. Jan 26, 1961"								2							1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1961	1	24	"New York Times. Jan 26, 1961"											2				1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92	2	1961	1	25	"New York Times. Jan 26, 1961"		2	2	2	2	2		2	2	2	2	2		2	0	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1961	1	26	"New York Times. Jan 26, 1961"														2	1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1961	6	-9	"none"							2								0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1972	-9	-9	"New York Times. Mar 26, 1972"						1			1						1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1972	3	-9	"New York Times. Mar 26, 1972"								1							1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92	1	1972	3	25	"New York Times. Mar 26, 1972"		1			1	1		1	1					1	0	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1972	3	26	"New York Times. Mar 26, 1972"														1	1	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1979	-9	-9	"unclear"			2	2					2	2					0	0	0	0	0	0	0	0	0	0	1
"El Salvador"	92		1979	9	21	"The Washington Post. Sep 27, 1979, A24"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92	2	1979	10	15	"New York Times. Oct 16, 1979"		2			2										0	0	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1979	10	16	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1979	10	19	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1980	-9	-9	"unclear"			1												0	0	0	0	0	0	0	0	0	0	1
"El Salvador"	92		1980	5	23	"Christian Science Monitor. May 23, 1980, Pg. 2"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1980	7	1	"The Globe and Mail (Canada), July 1, 1980"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1981	1	10	"New York Times. Jan 11, 1981"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1981	5	29	"New York Times. May 31, 1981"					1										0	0	0	1	0	0	0	0	0	0	0
"El Salvador"	92		1981	8	1	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1982	5	15	"New York Times. May 16, 1982"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1982	7	1	"New York Times. Jul 1, 1982"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1982	10	10	"New York Times. Oct 10, 1982"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1983	1	1	"New York Times. Jan 2, 1983"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1983	1	27	"New York Times. Jan 28, 1983"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1983	4	29	"New York Times. May 1, 1983"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1983	10	30	"New York Times. Oct 31, 1983"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1984	11	8	"New York Times. Nov 10, 1984"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1986	6	19	"New York Times. Jun 20, 1986"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1987	1	4	"New York Times. Jan 7, 1987"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1987	5	2	"New York Times. May 3, 1987"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1987	5	31	"St. Petersburg Times (Florida). Jun 1, 1987"					1										0	0	0	1	0	0	0	0	0	0	0
"El Salvador"	92		1988	9	1	"The Globe and Mail (Canada). Sep 2, 1988"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1989	5	19	"none"					1										0	1	0	0	0	0	0	0	0	0	0
"El Salvador"	92		1989	11	11	"New York Times. Nov 12, 1989"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1990	5	2	"The Toronto Star. May 2, 1990"					1										0	0	1	0	0	0	0	0	0	0	0
"El Salvador"	92		1990	11	19	"none"					1										0	1	0	0	0	0	0	0	0	0	0
